seed,variant,clear_rate,eval_cap_rate,penalized_completion_cap,completion_time_given_clear,stuck_fraction,mean_progress
0,baseline,0.28,0.72,3901.84,1078.0,0.569952,3017.72
0,baseline_plus_time_tail,1.0,0.0,1103.06,1103.06,0.0,3161.0
1,baseline,1.0,0.0,1083.46,1083.46,0.0,3161.0
1,baseline_plus_time_tail,1.0,0.0,1077.0,1077.0,0.0,3161.0
2,baseline,0.3,0.7,3833.6,1112.0,0.56616,2780.34
2,baseline_plus_time_tail,1.0,0.0,1077.86,1077.86,0.0,3161.0
3,baseline,1.0,0.0,1111.92,1111.92,0.0,3161.0
3,baseline_plus_time_tail,1.0,0.0,1119.96,1119.96,0.0,3161.0
4,baseline,1.0,0.0,1100.1,1100.1,0.0,3161.0
4,baseline_plus_time_tail,1.0,0.0,1103.28,1103.28,0.0,3161.0
5,baseline,1.0,0.0,1092.3,1092.3,0.0,3161.0
5,baseline_plus_time_tail,1.0,0.0,1104.76,1104.76,0.0,3161.0
6,baseline,1.0,0.0,1096.6,1096.6,0.0,3161.0
6,baseline_plus_time_tail,1.0,0.0,1112.56,1112.56,0.0,3161.0
7,baseline,1.0,0.0,1114.96,1114.96,0.0,3161.0
7,baseline_plus_time_tail,0.58,0.42,2744.96,1112.0,0.397152,2137.04
8,baseline,0.0,1.0,5000.0,,0.7877719999999999,2978.72
8,baseline_plus_time_tail,1.0,0.0,1112.0,1112.0,0.0,3161.0
9,baseline,1.0,0.0,1110.0,1110.0,0.0,3161.0
9,baseline_plus_time_tail,1.0,0.0,1077.14,1077.14,0.0,3161.0
