seed,checkpoint_step,clear_delta,cap_delta,completion_delta_given_clear,penalized_completion_delta_cap,penalized_completion_delta_cap_plus_penalty,p90_completion_delta,stuck_delta,progress_delta
0,250000,0.72,-0.72,25.059999999999945,-2798.78,-3518.78,36.0,-0.569952,143.2800000000002
0,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1000000,0.0,0.0,0.8599999999999,0.8599999999999,0.8599999999999,1.0,0.0,0.0
1,250000,0.0,0.0,-6.460000000000036,-6.460000000000036,-6.460000000000036,-40.0,0.0,0.0
1,500000,0.0,0.0,-4.619999999999891,-4.619999999999891,-4.619999999999891,-33.0,0.0,0.0
1,1000000,0.0,0.0,0.14000000000010004,0.14000000000010004,0.14000000000010004,0.0,0.0,0.0
2,250000,0.7,-0.7,-34.1400000000001,-2755.74,-3455.7400000000007,-34.0,-0.56616,380.65999999999985
2,500000,0.0,0.0,-26.399999999999864,-26.399999999999864,-26.399999999999864,-33.0,0.0,0.0
2,1000000,0.0,0.0,-0.5599999999999454,-0.5599999999999454,-0.5599999999999454,0.0,0.0,0.0
3,250000,0.0,0.0,8.039999999999964,8.039999999999964,8.039999999999964,3.0,0.0,0.0
3,500000,-0.42000000000000004,0.42,-29.713793103448324,1615.5999999999997,2035.6000000000006,-17.0,0.331548,-69.7199999999998
3,1000000,0.28,-0.28,1.0,-1097.44,-1377.44,1.0,-0.23139200000000001,220.92000000000007
4,250000,0.0,0.0,3.1800000000000637,3.1800000000000637,3.1800000000000637,-6.0,0.0,0.0
4,500000,0.0,0.0,-30.1400000000001,-30.1400000000001,-30.1400000000001,-31.0,0.0,0.0
4,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
